age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
29,ADMIN.,SINGLE,SECONDARY,NO,428,YES,YES,CELLULAR,7,MAY,54,1,345,2,FAILURE,NO
46,ADMIN.,MARRIED,SECONDARY,NO,179,YES,NO,CELLULAR,29,JAN,194,4,436,1,OTHER,NO
55,ADMIN.,MARRIED,SECONDARY,NO,602,NO,NO,CELLULAR,1,JUN,324,3,90,2,SUCCESS,YES
55,TECHNICIAN,MARRIED,SECONDARY,NO,273,YES,NO,CELLULAR,29,JAN,84,3,183,3,FAILURE,NO
28,MANAGEMENT,SINGLE,TERTIARY,NO,80,NO,NO,CELLULAR,20,OCT,676,2,146,2,FAILURE,YES
40,ADMIN.,SINGLE,SECONDARY,NO,462,YES,YES,CELLULAR,6,APR,272,1,335,4,OTHER,NO
37,ADMIN.,MARRIED,SECONDARY,NO,176,YES,NO,CELLULAR,5,MAY,147,2,347,1,FAILURE,NO
37,ADMIN.,MARRIED,TERTIARY,NO,0,YES,NO,CELLULAR,17,NOV,65,2,119,1,FAILURE,NO
34,ADMIN.,MARRIED,TERTIARY,NO,899,YES,NO,TELEPHONE,19,NOV,377,3,7,4,SUCCESS,NO
37,SERVICES,SINGLE,SECONDARY,NO,21,YES,NO,CELLULAR,2,FEB,96,1,271,2,OTHER,NO
36,TECHNICIAN,MARRIED,SECONDARY,NO,23,YES,NO,CELLULAR,8,MAY,152,2,347,1,FAILURE,NO
75,RETIRED,MARRIED,SECONDARY,NO,3771,NO,NO,TELEPHONE,15,APR,185,1,181,2,SUCCESS,YES
34,TECHNICIAN,SINGLE,TERTIARY,NO,992,YES,NO,CELLULAR,4,MAY,301,1,88,2,SUCCESS,NO
35,TECHNICIAN,SINGLE,TERTIARY,NO,2658,YES,NO,CELLULAR,19,AUG,768,2,141,3,FAILURE,YES
39,MANAGEMENT,DIVORCED,TERTIARY,NO,1315,YES,NO,CELLULAR,19,NOV,1337,4,126,1,FAILURE,NO
29,TECHNICIAN,MARRIED,SECONDARY,NO,1599,YES,NO,CELLULAR,8,JUL,115,1,61,1,FAILURE,NO
38,TECHNICIAN,MARRIED,TERTIARY,NO,432,YES,NO,CELLULAR,15,MAY,10,2,373,1,OTHER,NO
30,BLUE-COLLAR,MARRIED,SECONDARY,NO,975,YES,NO,CELLULAR,13,MAY,256,2,351,2,FAILURE,NO
33,TECHNICIAN,MARRIED,SECONDARY,NO,359,YES,NO,CELLULAR,20,APR,210,1,242,1,OTHER,NO
35,TECHNICIAN,MARRIED,TERTIARY,NO,0,YES,YES,CELLULAR,23,SEP,112,1,62,6,OTHER,NO
44,TECHNICIAN,SINGLE,SECONDARY,NO,33,YES,NO,CELLULAR,13,MAY,195,3,351,10,FAILURE,NO
45,BLUE-COLLAR,SINGLE,SECONDARY,NO,0,YES,NO,CELLULAR,26,JUL,768,2,91,5,SUCCESS,NO
33,BLUE-COLLAR,MARRIED,SECONDARY,NO,3576,YES,NO,CELLULAR,2,APR,124,1,308,2,OTHER,NO
36,MANAGEMENT,MARRIED,TERTIARY,NO,0,YES,NO,CELLULAR,28,JAN,60,1,250,1,OTHER,NO
43,TECHNICIAN,MARRIED,SECONDARY,NO,0,NO,YES,CELLULAR,8,MAY,9,2,172,5,FAILURE,NO
58,RETIRED,MARRIED,PRIMARY,NO,3401,YES,NO,CELLULAR,3,FEB,84,3,265,2,FAILURE,NO
58,TECHNICIAN,MARRIED,TERTIARY,NO,883,NO,NO,CELLULAR,18,AUG,543,1,78,2,FAILURE,NO
40,SERVICES,MARRIED,SECONDARY,NO,0,YES,NO,CELLULAR,2,JUN,297,1,28,3,FAILURE,NO
35,HOUSEMAID,MARRIED,TERTIARY,NO,11219,NO,NO,CELLULAR,12,AUG,699,2,79,1,FAILURE,NO
34,ADMIN.,MARRIED,TERTIARY,NO,69,NO,YES,CELLULAR,4,AUG,120,3,1,6,SUCCESS,YES
65,RETIRED,DIVORCED,PRIMARY,NO,1840,NO,NO,CELLULAR,1,JUN,383,2,188,5,FAILURE,NO
49,BLUE-COLLAR,MARRIED,SECONDARY,NO,8545,YES,YES,CELLULAR,6,MAY,199,7,167,1,FAILURE,NO
25,ADMIN.,SINGLE,TERTIARY,NO,760,YES,NO,CELLULAR,27,MAY,223,3,89,2,FAILURE,YES
35,ENTREPRENEUR,MARRIED,SECONDARY,NO,2971,NO,NO,CELLULAR,4,MAY,429,4,164,2,FAILURE,YES
38,MANAGEMENT,MARRIED,TERTIARY,NO,1199,NO,NO,CELLULAR,4,AUG,178,1,1,1,SUCCESS,YES
33,TECHNICIAN,MARRIED,SECONDARY,NO,6699,NO,NO,CELLULAR,9,NOV,425,1,462,1,FAILURE,NO
35,UNEMPLOYED,MARRIED,SECONDARY,NO,978,NO,NO,CELLULAR,29,DEC,1370,3,209,3,SUCCESS,YES
29,TECHNICIAN,SINGLE,TERTIARY,NO,828,YES,NO,CELLULAR,16,APR,215,3,321,3,OTHER,NO
33,MANAGEMENT,SINGLE,TERTIARY,NO,1410,YES,NO,CELLULAR,5,FEB,8,1,254,5,FAILURE,NO
63,RETIRED,MARRIED,PRIMARY,NO,1084,NO,NO,CELLULAR,14,OCT,201,1,183,1,SUCCESS,NO
41,MANAGEMENT,MARRIED,TERTIARY,NO,832,YES,YES,CELLULAR,21,NOV,164,1,176,1,FAILURE,NO
36,BLUE-COLLAR,SINGLE,SECONDARY,NO,219,YES,YES,CELLULAR,11,MAY,270,2,347,1,FAILURE,NO
55,MANAGEMENT,MARRIED,PRIMARY,NO,2587,NO,NO,CELLULAR,4,SEP,328,2,94,2,SUCCESS,YES
47,SELF-EMPLOYED,MARRIED,TERTIARY,NO,2303,YES,NO,CELLULAR,6,MAY,323,2,364,1,FAILURE,NO
50,MANAGEMENT,MARRIED,TERTIARY,NO,4,NO,NO,CELLULAR,17,NOV,223,1,96,2,FAILURE,NO
29,MANAGEMENT,MARRIED,TERTIARY,NO,318,YES,NO,CELLULAR,18,MAY,1434,2,356,4,FAILURE,NO
32,MANAGEMENT,SINGLE,TERTIARY,NO,8436,YES,NO,CELLULAR,17,APR,245,1,149,2,FAILURE,NO
30,ENTREPRENEUR,MARRIED,SECONDARY,NO,946,YES,NO,CELLULAR,19,NOV,1065,1,183,1,OTHER,NO
30,SERVICES,SINGLE,SECONDARY,NO,0,YES,NO,CELLULAR,18,MAY,131,6,363,9,FAILURE,NO
37,MANAGEMENT,MARRIED,TERTIARY,NO,393,YES,NO,CELLULAR,14,MAY,567,3,275,4,FAILURE,YES
39,BLUE-COLLAR,MARRIED,SECONDARY,NO,0,YES,NO,CELLULAR,30,APR,53,1,325,1,FAILURE,NO
37,SERVICES,MARRIED,SECONDARY,NO,1328,YES,NO,TELEPHONE,13,MAY,121,2,341,4,FAILURE,NO
33,MANAGEMENT,SINGLE,TERTIARY,NO,1240,YES,NO,CELLULAR,4,FEB,505,2,260,1,OTHER,NO
33,BLUE-COLLAR,MARRIED,SECONDARY,NO,43,YES,NO,CELLULAR,14,MAY,332,2,358,2,FAILURE,NO
37,TECHNICIAN,SINGLE,TERTIARY,NO,6101,NO,NO,CELLULAR,4,MAY,60,5,87,1,SUCCESS,NO
44,MANAGEMENT,MARRIED,SECONDARY,NO,438,YES,NO,TELEPHONE,8,MAY,37,3,303,1,FAILURE,NO
54,ADMIN.,MARRIED,SECONDARY,NO,0,NO,NO,CELLULAR,28,JAN,161,1,98,2,FAILURE,YES
75,RETIRED,DIVORCED,TERTIARY,NO,3810,YES,NO,CELLULAR,16,NOV,262,1,183,1,FAILURE,YES
37,MANAGEMENT,MARRIED,TERTIARY,NO,502,YES,NO,CELLULAR,7,MAY,551,1,351,1,FAILURE,NO
37,MANAGEMENT,SINGLE,TERTIARY,NO,876,YES,NO,CELLULAR,15,APR,140,4,327,2,FAILURE,NO
43,BLUE-COLLAR,MARRIED,SECONDARY,NO,130,NO,NO,CELLULAR,5,MAY,156,1,337,3,FAILURE,NO
27,ADMIN.,SINGLE,SECONDARY,NO,619,YES,NO,CELLULAR,20,APR,16,5,322,4,OTHER,NO
43,MANAGEMENT,DIVORCED,TERTIARY,NO,36,NO,NO,CELLULAR,26,MAY,118,1,102,2,FAILURE,NO
32,BLUE-COLLAR,MARRIED,SECONDARY,NO,889,YES,NO,CELLULAR,10,SEP,185,1,99,5,SUCCESS,YES
59,HOUSEMAID,MARRIED,SECONDARY,NO,0,NO,NO,TELEPHONE,3,FEB,722,1,99,4,FAILURE,NO
77,RETIRED,MARRIED,TERTIARY,NO,7802,NO,NO,TELEPHONE,4,MAY,421,1,92,2,SUCCESS,YES
40,TECHNICIAN,MARRIED,SECONDARY,NO,694,YES,NO,CELLULAR,4,FEB,97,4,196,5,FAILURE,NO
53,ADMIN.,MARRIED,SECONDARY,NO,1796,NO,NO,TELEPHONE,16,MAR,295,1,91,2,SUCCESS,YES
50,HOUSEMAID,MARRIED,SECONDARY,NO,7317,YES,NO,CELLULAR,13,MAY,172,1,370,1,FAILURE,NO
32,MANAGEMENT,SINGLE,TERTIARY,NO,12607,NO,NO,CELLULAR,14,AUG,203,5,84,1,FAILURE,NO
38,BLUE-COLLAR,MARRIED,SECONDARY,NO,121,YES,YES,CELLULAR,6,FEB,168,1,212,2,FAILURE,NO
52,TECHNICIAN,MARRIED,SECONDARY,NO,195,YES,NO,CELLULAR,18,FEB,220,1,63,5,FAILURE,YES
45,UNEMPLOYED,DIVORCED,PRIMARY,NO,757,NO,NO,CELLULAR,20,APR,103,1,325,4,FAILURE,NO
34,MANAGEMENT,MARRIED,TERTIARY,NO,902,YES,NO,CELLULAR,14,MAY,159,1,367,2,OTHER,NO
61,RETIRED,MARRIED,SECONDARY,NO,5207,NO,NO,CELLULAR,11,SEP,336,1,81,2,OTHER,NO
43,ADMIN.,DIVORCED,SECONDARY,NO,738,YES,NO,CELLULAR,21,NOV,585,4,191,4,FAILURE,NO
43,SERVICES,MARRIED,PRIMARY,NO,2567,YES,NO,CELLULAR,14,MAY,109,1,360,2,FAILURE,NO
47,ADMIN.,SINGLE,SECONDARY,NO,3696,NO,NO,CELLULAR,12,JUL,250,2,181,4,SUCCESS,YES
63,RETIRED,MARRIED,SECONDARY,NO,2747,NO,NO,CELLULAR,11,SEP,113,1,80,1,FAILURE,NO
37,ADMIN.,MARRIED,SECONDARY,NO,1314,YES,NO,CELLULAR,8,MAY,682,2,85,7,SUCCESS,NO
50,TECHNICIAN,MARRIED,SECONDARY,NO,2497,YES,NO,CELLULAR,21,NOV,35,1,176,1,FAILURE,NO
40,TECHNICIAN,MARRIED,SECONDARY,NO,56,YES,YES,CELLULAR,29,JAN,194,1,247,1,FAILURE,NO
53,MANAGEMENT,MARRIED,TERTIARY,NO,1319,YES,NO,CELLULAR,16,APR,427,1,150,1,FAILURE,NO
49,BLUE-COLLAR,MARRIED,SECONDARY,NO,171,NO,NO,CELLULAR,4,FEB,19,3,175,2,OTHER,NO
33,TECHNICIAN,SINGLE,TERTIARY,NO,696,NO,YES,CELLULAR,5,FEB,193,1,176,8,FAILURE,NO
47,HOUSEMAID,MARRIED,PRIMARY,NO,201,YES,NO,CELLULAR,7,AUG,58,2,382,1,FAILURE,NO
50,BLUE-COLLAR,MARRIED,PRIMARY,NO,12519,YES,NO,CELLULAR,17,APR,146,2,147,4,SUCCESS,NO
39,TECHNICIAN,MARRIED,TERTIARY,NO,1161,YES,NO,CELLULAR,9,APR,236,1,336,1,FAILURE,NO
35,TECHNICIAN,MARRIED,TERTIARY,NO,7050,NO,NO,CELLULAR,11,AUG,222,3,182,4,SUCCESS,YES
40,MANAGEMENT,SINGLE,TERTIARY,NO,1509,NO,NO,CELLULAR,12,MAY,333,1,58,3,FAILURE,NO
59,MANAGEMENT,MARRIED,TERTIARY,NO,2764,NO,NO,CELLULAR,24,DEC,237,1,206,2,FAILURE,NO
33,TECHNICIAN,MARRIED,TERTIARY,NO,8023,NO,NO,CELLULAR,30,NOV,107,1,105,3,FAILURE,NO
46,MANAGEMENT,DIVORCED,TERTIARY,NO,6269,YES,NO,TELEPHONE,18,NOV,249,3,112,2,FAILURE,NO
60,MANAGEMENT,MARRIED,PRIMARY,NO,252,YES,YES,CELLULAR,13,APR,123,2,147,3,FAILURE,NO
33,HOUSEMAID,SINGLE,TERTIARY,NO,23663,YES,NO,CELLULAR,16,APR,199,2,146,2,FAILURE,NO
27,ENTREPRENEUR,SINGLE,TERTIARY,NO,81,NO,NO,CELLULAR,5,FEB,197,1,199,3,FAILURE,NO
64,RETIRED,MARRIED,PRIMARY,NO,43,NO,NO,CELLULAR,11,MAR,117,1,91,1,SUCCESS,NO
47,TECHNICIAN,MARRIED,SECONDARY,NO,57,NO,NO,CELLULAR,5,MAY,253,1,342,1,SUCCESS,NO
36,TECHNICIAN,DIVORCED,SECONDARY,NO,666,YES,YES,CELLULAR,3,APR,190,1,133,1,OTHER,NO
53,ENTREPRENEUR,MARRIED,PRIMARY,NO,1034,YES,NO,CELLULAR,19,NOV,854,2,170,3,OTHER,NO
54,TECHNICIAN,MARRIED,SECONDARY,NO,0,NO,NO,TELEPHONE,16,NOV,986,1,94,8,FAILURE,NO
55,MANAGEMENT,MARRIED,PRIMARY,NO,621,NO,YES,CELLULAR,2,FEB,114,1,208,1,FAILURE,NO
44,TECHNICIAN,MARRIED,SECONDARY,NO,310,YES,NO,CELLULAR,6,FEB,200,1,253,1,FAILURE,NO
37,TECHNICIAN,MARRIED,SECONDARY,NO,64,YES,NO,CELLULAR,12,MAY,239,4,278,2,OTHER,NO
28,SERVICES,SINGLE,SECONDARY,NO,168,NO,NO,CELLULAR,1,JUN,347,3,140,2,SUCCESS,YES
46,SERVICES,MARRIED,SECONDARY,NO,1550,YES,NO,CELLULAR,16,APR,126,2,149,8,FAILURE,NO
35,ENTREPRENEUR,MARRIED,TERTIARY,NO,0,NO,NO,CELLULAR,5,MAY,74,1,168,4,FAILURE,NO
25,STUDENT,SINGLE,SECONDARY,NO,1790,NO,NO,CELLULAR,17,APR,224,1,322,3,FAILURE,NO
40,BLUE-COLLAR,MARRIED,SECONDARY,NO,498,YES,NO,CELLULAR,8,MAY,55,2,298,4,FAILURE,NO
26,TECHNICIAN,SINGLE,SECONDARY,NO,455,NO,NO,CELLULAR,29,JAN,240,1,182,8,OTHER,NO
31,MANAGEMENT,MARRIED,TERTIARY,NO,1010,YES,NO,CELLULAR,15,MAY,385,3,364,9,OTHER,NO
48,BLUE-COLLAR,MARRIED,PRIMARY,NO,1092,NO,YES,CELLULAR,18,NOV,79,1,172,8,FAILURE,NO
36,TECHNICIAN,SINGLE,SECONDARY,NO,1855,YES,NO,CELLULAR,4,FEB,75,1,273,1,FAILURE,NO
46,SERVICES,MARRIED,SECONDARY,NO,0,YES,NO,CELLULAR,22,JUN,154,1,124,1,OTHER,NO
28,SERVICES,MARRIED,SECONDARY,NO,0,YES,NO,CELLULAR,5,MAY,335,2,281,8,FAILURE,NO
37,MANAGEMENT,DIVORCED,SECONDARY,NO,414,NO,NO,CELLULAR,29,JAN,293,2,162,4,FAILURE,NO
52,MANAGEMENT,MARRIED,TERTIARY,NO,1944,YES,NO,CELLULAR,15,APR,238,3,323,2,FAILURE,NO
28,TECHNICIAN,SINGLE,SECONDARY,NO,3,NO,NO,TELEPHONE,18,MAY,40,8,349,6,FAILURE,NO
50,MANAGEMENT,MARRIED,TERTIARY,NO,2881,NO,NO,CELLULAR,5,AUG,510,2,2,5,OTHER,NO
30,BLUE-COLLAR,SINGLE,SECONDARY,NO,445,YES,NO,CELLULAR,16,APR,218,1,330,2,FAILURE,NO
40,MANAGEMENT,MARRIED,SECONDARY,NO,643,YES,NO,CELLULAR,17,APR,74,2,256,1,FAILURE,NO
41,TECHNICIAN,MARRIED,SECONDARY,NO,2125,YES,YES,CELLULAR,21,NOV,285,3,116,4,FAILURE,NO
32,TECHNICIAN,SINGLE,SECONDARY,NO,271,YES,NO,CELLULAR,13,MAY,80,2,268,2,OTHER,NO
27,SERVICES,MARRIED,SECONDARY,NO,58,YES,NO,CELLULAR,7,MAY,113,1,337,2,OTHER,NO
31,MANAGEMENT,SINGLE,TERTIARY,NO,112,YES,NO,CELLULAR,2,FEB,159,2,271,1,FAILURE,NO
40,SELF-EMPLOYED,MARRIED,TERTIARY,NO,13669,NO,NO,CELLULAR,15,OCT,138,1,136,8,OTHER,NO
43,MANAGEMENT,MARRIED,TERTIARY,NO,1429,YES,NO,CELLULAR,19,NOV,1015,1,198,2,OTHER,YES
47,UNEMPLOYED,MARRIED,PRIMARY,NO,168,YES,NO,TELEPHONE,30,JAN,66,1,241,1,OTHER,NO
39,SERVICES,SINGLE,SECONDARY,NO,7066,YES,NO,CELLULAR,15,MAY,667,3,357,3,OTHER,YES
59,MANAGEMENT,SINGLE,SECONDARY,NO,671,YES,YES,CELLULAR,29,JAN,219,2,259,5,FAILURE,NO
55,HOUSEMAID,DIVORCED,PRIMARY,NO,976,NO,NO,CELLULAR,28,JUN,345,1,94,3,OTHER,YES
46,MANAGEMENT,DIVORCED,TERTIARY,NO,624,NO,NO,CELLULAR,17,SEP,336,2,183,2,SUCCESS,YES
34,TECHNICIAN,SINGLE,TERTIARY,NO,144,YES,YES,CELLULAR,14,OCT,104,1,85,19,FAILURE,NO
56,TECHNICIAN,MARRIED,SECONDARY,NO,150,YES,YES,CELLULAR,11,MAY,102,6,349,1,FAILURE,NO
38,MANAGEMENT,SINGLE,TERTIARY,NO,15030,YES,NO,CELLULAR,13,MAY,167,1,174,7,OTHER,NO
26,ADMIN.,SINGLE,SECONDARY,NO,255,NO,NO,CELLULAR,30,APR,457,1,80,1,SUCCESS,YES
31,TECHNICIAN,SINGLE,SECONDARY,NO,102,YES,NO,TELEPHONE,17,APR,460,2,345,2,FAILURE,NO
45,ENTREPRENEUR,MARRIED,PRIMARY,NO,58,YES,NO,TELEPHONE,13,MAY,119,3,371,3,FAILURE,NO
28,MANAGEMENT,SINGLE,TERTIARY,NO,882,NO,YES,CELLULAR,29,JAN,94,1,205,2,FAILURE,NO
27,STUDENT,SINGLE,TERTIARY,NO,5291,NO,NO,CELLULAR,12,NOV,192,2,92,2,FAILURE,YES
49,MANAGEMENT,SINGLE,SECONDARY,NO,61,YES,NO,CELLULAR,29,JAN,185,2,246,1,FAILURE,NO
30,TECHNICIAN,SINGLE,TERTIARY,NO,3,YES,NO,CELLULAR,6,MAY,45,2,169,2,FAILURE,NO
34,ADMIN.,MARRIED,TERTIARY,NO,35,YES,NO,CELLULAR,15,OCT,76,1,69,2,FAILURE,NO
31,BLUE-COLLAR,MARRIED,PRIMARY,NO,99,YES,NO,CELLULAR,17,APR,193,2,322,1,OTHER,NO
38,ADMIN.,MARRIED,PRIMARY,NO,3913,YES,NO,CELLULAR,20,APR,196,2,315,2,FAILURE,NO
34,MANAGEMENT,MARRIED,TERTIARY,NO,0,YES,NO,CELLULAR,7,AUG,262,1,99,2,SUCCESS,YES
36,MANAGEMENT,MARRIED,TERTIARY,NO,222,YES,NO,CELLULAR,6,MAY,317,1,169,2,FAILURE,NO
27,UNEMPLOYED,SINGLE,SECONDARY,NO,3276,NO,NO,CELLULAR,5,AUG,106,1,110,2,OTHER,NO
52,TECHNICIAN,MARRIED,SECONDARY,NO,196,YES,YES,CELLULAR,24,FEB,116,1,273,3,FAILURE,NO
35,BLUE-COLLAR,MARRIED,SECONDARY,NO,6411,YES,YES,CELLULAR,30,JAN,144,1,266,2,FAILURE,NO
58,SELF-EMPLOYED,MARRIED,PRIMARY,NO,1013,YES,NO,CELLULAR,11,AUG,206,1,461,1,FAILURE,YES
37,TECHNICIAN,SINGLE,SECONDARY,NO,5436,YES,NO,CELLULAR,6,MAY,7,11,351,1,FAILURE,NO
59,SELF-EMPLOYED,MARRIED,TERTIARY,NO,2013,NO,NO,CELLULAR,19,FEB,222,4,94,2,SUCCESS,YES
34,MANAGEMENT,SINGLE,TERTIARY,NO,673,YES,YES,CELLULAR,20,NOV,271,1,184,1,FAILURE,NO
20,STUDENT,SINGLE,SECONDARY,NO,291,NO,NO,TELEPHONE,11,MAY,172,5,371,5,FAILURE,NO
42,TECHNICIAN,MARRIED,SECONDARY,NO,994,YES,NO,CELLULAR,11,AUG,149,1,78,5,FAILURE,YES
55,BLUE-COLLAR,DIVORCED,SECONDARY,NO,1613,YES,NO,CELLULAR,3,APR,296,1,270,3,FAILURE,YES
30,ADMIN.,SINGLE,SECONDARY,NO,81,YES,NO,CELLULAR,6,AUG,121,6,112,3,OTHER,NO
34,SERVICES,MARRIED,SECONDARY,NO,1337,NO,NO,CELLULAR,17,DEC,330,2,127,3,SUCCESS,YES
63,ENTREPRENEUR,MARRIED,SECONDARY,NO,3904,NO,NO,TELEPHONE,4,AUG,250,2,187,2,SUCCESS,YES
48,MANAGEMENT,MARRIED,TERTIARY,NO,1147,NO,NO,CELLULAR,5,AUG,389,1,64,2,SUCCESS,YES
38,BLUE-COLLAR,MARRIED,SECONDARY,NO,0,YES,NO,CELLULAR,13,MAY,57,5,349,1,OTHER,NO
30,MANAGEMENT,SINGLE,TERTIARY,NO,726,YES,NO,CELLULAR,16,APR,39,1,342,3,FAILURE,NO
38,ADMIN.,MARRIED,TERTIARY,NO,1988,NO,NO,CELLULAR,27,MAR,164,2,130,2,FAILURE,YES
64,HOUSEMAID,MARRIED,PRIMARY,NO,768,NO,NO,CELLULAR,15,JUL,250,2,182,1,SUCCESS,NO
46,TECHNICIAN,MARRIED,TERTIARY,NO,217,YES,NO,CELLULAR,14,MAY,141,1,346,2,OTHER,NO
45,MANAGEMENT,DIVORCED,TERTIARY,NO,2096,NO,NO,CELLULAR,21,NOV,127,1,100,2,FAILURE,NO
59,MANAGEMENT,MARRIED,TERTIARY,NO,1831,NO,NO,CELLULAR,17,FEB,122,1,92,1,FAILURE,NO
37,BLUE-COLLAR,SINGLE,PRIMARY,NO,851,YES,NO,CELLULAR,15,MAY,151,1,352,1,FAILURE,NO
43,MANAGEMENT,SINGLE,TERTIARY,NO,146,NO,NO,CELLULAR,21,NOV,50,1,113,5,OTHER,NO
59,TECHNICIAN,MARRIED,SECONDARY,NO,1,NO,NO,CELLULAR,15,APR,159,2,378,3,FAILURE,YES
37,TECHNICIAN,MARRIED,SECONDARY,NO,480,NO,NO,CELLULAR,22,OCT,344,2,182,8,OTHER,YES
35,TECHNICIAN,MARRIED,SECONDARY,NO,2789,YES,NO,CELLULAR,4,SEP,256,2,94,1,FAILURE,NO
32,TECHNICIAN,MARRIED,TERTIARY,NO,4089,NO,NO,CELLULAR,26,MAY,114,7,287,3,FAILURE,NO
36,MANAGEMENT,SINGLE,TERTIARY,NO,243,YES,NO,CELLULAR,7,MAY,160,2,360,3,FAILURE,NO
36,SERVICES,SINGLE,SECONDARY,NO,1482,YES,NO,CELLULAR,18,NOV,177,2,174,1,OTHER,NO
47,ADMIN.,MARRIED,SECONDARY,NO,1934,NO,YES,CELLULAR,14,MAY,225,1,364,1,FAILURE,NO
31,MANAGEMENT,SINGLE,TERTIARY,NO,62,YES,NO,CELLULAR,18,MAY,175,1,293,5,FAILURE,NO
35,UNEMPLOYED,MARRIED,SECONDARY,NO,977,YES,NO,CELLULAR,4,MAY,52,4,91,1,OTHER,NO
32,TECHNICIAN,SINGLE,TERTIARY,NO,5514,NO,NO,CELLULAR,22,APR,319,1,182,1,SUCCESS,YES
34,TECHNICIAN,SINGLE,SECONDARY,NO,2729,YES,NO,CELLULAR,6,APR,945,1,139,1,SUCCESS,NO
34,SERVICES,MARRIED,SECONDARY,NO,1076,NO,NO,CELLULAR,12,MAY,152,1,182,6,SUCCESS,YES
71,TECHNICIAN,MARRIED,TERTIARY,NO,383,NO,NO,CELLULAR,27,OCT,327,2,183,3,SUCCESS,NO
33,BLUE-COLLAR,SINGLE,SECONDARY,NO,706,YES,NO,CELLULAR,7,APR,329,1,322,1,FAILURE,NO
36,MANAGEMENT,MARRIED,SECONDARY,NO,1825,YES,NO,CELLULAR,14,MAY,24,1,346,1,FAILURE,NO
59,SELF-EMPLOYED,MARRIED,TERTIARY,NO,185,NO,NO,CELLULAR,22,JUN,177,5,138,1,FAILURE,NO
58,RETIRED,SINGLE,SECONDARY,NO,1640,NO,YES,CELLULAR,4,FEB,72,6,274,4,FAILURE,NO
60,ADMIN.,DIVORCED,SECONDARY,NO,174,YES,NO,CELLULAR,15,MAY,241,1,364,1,FAILURE,NO
36,MANAGEMENT,SINGLE,TERTIARY,NO,490,NO,NO,CELLULAR,28,AUG,207,8,98,1,FAILURE,YES
29,MANAGEMENT,SINGLE,TERTIARY,NO,15459,NO,NO,CELLULAR,26,MAY,245,3,97,7,SUCCESS,NO
51,BLUE-COLLAR,MARRIED,SECONDARY,NO,160,YES,NO,CELLULAR,7,MAY,136,1,359,1,FAILURE,NO
